,sar_worthy,typology_structuring,typology_rapid_movement,typology_funnel_account,typology_trade_based,typology_shell_company,typology_round_tripping
fund_exit_ratio,0.33706464902945865,0.09316718797356383,0.1051829459737712,0.040343241298471,0.06103406102082043,0.0548827250571402,0.10192498118161875
burst_x_exit,0.3213262632022795,0.0909675055765542,0.2440215773443235,0.03898148329552842,0.03401771911124585,0.04697609120738622,0.05481620565350376
fund_exit_tier,0.2435626270896638,0.036933238521307254,0.07601730718397515,0.02328796688123358,0.03716404309719912,0.024064604090609842,0.09789756375861547
time_to_first_outbound_minutes_log,0.17021964898525055,0.20810527221375352,0.2307332664185877,0.10452409852940536,0.10435751562995366,0.1033760741674219,0.12376467156953086
time_to_first_outbound_minutes,0.16705925966284907,0.21108109034294942,0.22874333278846692,0.10083994622552472,0.10407939269132616,0.1045438648125896,0.12386933560983726
burst_score,0.15535894433352215,0.10070459905735785,0.13729489472853817,0.05537935312114817,0.0477567755539563,0.05651728248395038,0.04861073427584639
hr_country_x_exit,0.14578617680710937,0.028856714568149755,0.03175024886851885,0.015189846904460458,0.04787830511488278,0.04991558264816898,0.08956013402606144
burst_per_age,0.12358947547283083,0.09572434127387464,0.14734672158178141,0.060375543240726026,0.045730460663497174,0.0468629760097421,0.03820215640543667
burst_tier,0.10056462902722507,0.06401394134180238,0.12021795041670735,0.03686261621328635,0.03152799433514164,0.011431777760485318,0.013070609011044176
alert_count,0.024613553170606206,0.019187035369850003,0.03336383990758951,0.020056216545207395,0.021504093413122538,0.055193912000800927,0.03024795987597373
account_age_days_log,0.02452892796553341,0.0616165193123126,0.06627306188626791,0.05964458354975721,0.022737196055180986,0.09598154179555718,0.04721348572957473
kyc_x_alert,0.021773422019479405,0.015523063962483707,0.017811700780867357,0.0049520556298146,0.03726718070257107,0.01943919200761579,0.024686993153311576
account_age_days,0.019158948634087958,0.06209610041032998,0.06067595675014803,0.06036611670246539,0.02267738457527746,0.09580610418016167,0.047200249514003145
kyc_risk_score,0.016194323544659328,0.06959080937502238,0.0268683084952277,0.01405218926895535,0.06686803624072257,0.03342541349108541,0.012906472533405156
alert_tier,0.012847239446546643,0.01396957957430911,0.015461297140126895,0.0048782388032708734,0.012368392261392192,0.028072086088516857,0.025472487676948985
pep_flag,0.012278559312588477,0.0,0.0011865459471562811,0.0,0.0,0.0,0.0017823577674880298
high_risk_combined,0.009724298014329724,0.0,0.005476604910685801,0.0005761584492125493,0.011394445281732057,0.010439523560191066,0.0064132495000690515
sar_history_x_kyc,0.009348876288249208,0.03099701573988889,0.005368918303400916,0.005074453362830633,0.026921496438705894,0.011518194963144879,0.006906891065981524
high_risk_country_flag,0.004234090555002679,0.003286208558938686,0.012472968136741036,0.015657590891339668,0.016937992503001764,0.02168698378969358,0.014744346531423425
diversity_x_sources,0.0038127556207627755,0.1534577387069027,0.026420276031663192,0.0417953831623088,0.033384161639305354,0.027886147913262604,0.03132946906948475
alert_density,0.0037677897454593268,0.03142438773726042,0.05770335203911614,0.015733313216880207,0.00820876124114922,0.03660968659747943,0.018203717899125893
txn_count_log,0.0031002096422789727,0.10814222993520106,0.07559508184684405,0.10611413721510221,0.08272557357769439,0.07400748232844001,0.051731767523398364
pep_x_intl,0.0018130026437004343,0.00040573054853099144,0.011066311060678125,0.0,0.002850937413319654,0.0,0.0039765363071144755
distinct_counterparties,0.0,0.10907363958910787,0.024890953344228528,0.029421876860266316,0.03444149247855566,0.09225299170194035,0.0329715268095252
incoming_sources_count,0.0,0.0998836155634526,0.0241653275279341,0.13435475826982324,0.04233831138011146,0.049711375908101596,0.030344193181341517
counterparty_diversity_score,0.0,0.13680402251918067,0.04624966645509865,0.03147815853742686,0.03613511185536589,0.04637316915884848,0.033943971632001135
std_txn_amount,0.0,0.14132194227166228,0.08807844876148763,0.10409185069015559,0.11516266649476492,0.09852043189908444,0.07400493877147696
avg_txn_amount,0.0,0.11283140299441041,0.06583459147121817,0.09458955754664444,0.10966057753366987,0.11662636321216002,0.0743499346453329
total_txn_amount,0.0,0.05736113098957896,0.04995291335555474,0.03521765225959084,0.06992489666990331,0.08033342758274742,0.05123716812364765
international_counterparty_flag,0.0,0.032093724610241514,0.0034849195040933534,0.010293568317214508,0.02873982328124769,0.0009887106040538107,0.026862354971702418
min_txn_amount,0.0,0.13391170774571148,0.06262608504738298,0.07553013677683418,0.10076100034307811,0.08604074005126616,0.060572199344623545
max_txn_amount,0.0,0.12280155490744393,0.08269368120512177,0.11321073815945426,0.11716482587744359,0.10750476725795588,0.07523853872881059
txn_count,0.0,0.10275471652602008,0.07332049699865095,0.10861424714304202,0.07981831406895035,0.06827154178352424,0.05619040564040345
txn_velocity,0.0,0.08431889532142223,0.1096042865726492,0.08000892459767095,0.08874558642435848,0.05345843418804286,0.026766624892915925
max_to_avg_txn_ratio,0.0,0.03964131835169282,0.005061841919706822,0.01000384180876246,0.021378109781431176,0.007092269132691786,0.01082787916419159
txn_amount_cv,0.0,0.029298452871095115,0.0,0.02378193929221606,0.023743084345823506,0.024872709441979612,0.01902081266664557
distinct_counterparties_log,0.0,0.10301647160542182,0.02036180402872856,0.03280426832502492,0.0312029545611876,0.09622270217734696,0.02570499780005031
txn_velocity_log,0.0,0.08438137118194922,0.10970864741664577,0.08000360401825612,0.08890587782429127,0.053504175503084284,0.02684544374423692
incoming_sources_count_log,0.0,0.0924043971451971,0.018384092123250095,0.1374804454792209,0.052284113875254556,0.0570783713037073,0.03302232718372489
std_txn_amount_cbrt,0.0,0.13828130031154862,0.09045974196229567,0.10335986255269636,0.11423928594375066,0.09674604049908786,0.0727941291900649
max_txn_amount_cbrt,0.0,0.12024853608353903,0.0826362476245559,0.11061564707676053,0.12064957524512976,0.10777515675950333,0.0727471189964366
min_txn_amount_cbrt,0.0,0.13136926225620815,0.06410022857870512,0.0757587127722068,0.10113938843952841,0.0891524535285817,0.061454789763630835
historical_sar_flag,0.0,0.0007392637733851792,0.0,0.0032235044970692073,0.0,0.0,0.0
total_txn_amount_cbrt,0.0,0.05516959887147044,0.0462608457050564,0.03661770246547191,0.07242815217724963,0.07468864600396219,0.051524295640438256
avg_txn_amount_cbrt,0.0,0.1128856492196113,0.06941487049202255,0.09535644461029769,0.11365934766760333,0.11365599463228993,0.07346045508515742
counterparty_to_txn_ratio,0.0,0.11168027959013016,0.016660459270584127,0.04804455765532811,0.031289910874352955,0.04288073067786535,0.03024213583543145
incoming_to_outgoing_ratio,0.0,0.09392280866996128,0.023391163234905976,0.09835946734863232,0.03432107884047397,0.07974196380317755,0.022229057528080354
kyc_risk_tier,0.0,0.00920139932163444,0.0,0.0,0.032062110233183505,0.013219716084094335,0.001383024386591769
binary_risk_flag_count,0.0,0.01774906713649549,0.0029277251668691218,0.006990307957772224,0.01794034147984158,0.010504797701057722,0.015256879785868094
all_flags_set,0.0,0.002145334739907634,0.0,0.0,0.0,0.0016949384506570464,0.003982900933555911
