total_txn_amount,avg_txn_amount,std_txn_amount,txn_count,max_txn_amount,min_txn_amount,burst_score,time_to_first_outbound_minutes,fund_exit_ratio,txn_velocity,distinct_counterparties,counterparty_diversity_score,incoming_sources_count,international_counterparty_flag,pep_flag,high_risk_country_flag,kyc_risk_score,account_age_days,alert_count,historical_sar_flag,sar_worthy,typology_structuring,typology_rapid_movement,typology_funnel_account,typology_trade_based,typology_shell_company,typology_round_tripping
11861500.99,847250.0706,64213.7652,14,1246451.18,126207.97,0.3668,5800,0.9127,1.5598,6,0.5138,4,1,0,0,0.8807,566,8,0,1,0,0,0,1,0,0
5639771.02,100710.1968,19751.7702,56,100710.1968,62044.96,0.7553,327,0.6126,10.1662,9,0.2568,40,0,0,0,0.679,603,4,1,1,0,0,1,0,0,0
422831.8,7830.2186,6245.7543,54,12242.6,7830.2186,0.4433,369,0.7257,6.7286,22,0.1452,5,0,0,0,0.777,167,6,0,1,1,0,0,0,0,0
1888169.55,62938.985,11141.9547,30,137062.32,857.74,0.7929,54,0.6519,4.7562,9,0.6645,49,0,0,0,0.8921,390,8,0,1,0,0,1,0,0,0
6900318.1,75003.4576,5399.8126,92,96440.15,31128.69,0.5907,122,0.7499,10.6173,9,0.4066,43,1,0,0,0.7989,603,3,1,1,0,0,1,0,0,0
5184844.11,246897.3384,246897.3384,21,2046472.93,246897.3384,0.511,8706,0.8529,2.6774,19,0.4382,5,1,0,1,0.8807,200,8,0,1,0,0,0,1,0,0
302842.6,14421.0763,342.9861,21,31258.26,14421.0763,0.8121,129,0.698,3.6637,22,0.2116,3,0,0,0,0.7917,215,3,1,1,1,0,0,0,0,0
2037539.42,67917.9807,2545.6576,30,96128.05,42449.93,0.7191,208,0.7915,10.4517,34,0.4942,49,1,0,1,0.5886,315,4,0,1,0,0,1,0,0,0
2921532.68,365191.5853,64213.7652,8,590425.09,365191.5853,0.592,8455,0.6551,2.6774,27,0.318,8,1,0,0,0.8174,200,3,0,1,0,0,0,1,0,0
16337155.74,233387.9391,4490.1389,70,233387.9391,3035.06,0.6445,254,0.8279,3.6637,21,0.1452,4,1,0,1,0.782,482,5,0,1,1,0,0,0,0,0
5584187.15,398870.511,31535.2956,14,398870.511,273338.63,0.9023,295,0.8006,17.4065,14,0.5599,12,1,0,0,0.6797,48,4,1,1,0,1,0,0,0,0
8189593.45,744508.4958,123482.9898,11,744508.4958,693907.25,0.7131,3808,0.805,1.1368,60,0.483,3,0,0,1,0.8075,302,9,1,1,0,0,0,0,1,0
8198389.58,102479.8698,6289.4277,80,102479.8698,102479.8698,0.6139,54,0.7786,4.3879,10,0.2764,39,0,0,1,0.7151,419,3,1,1,0,0,1,0,0,0
14722812.37,920175.7729,132534.0966,16,2163658.01,12344.87,0.46,1897,0.7996,2.6774,27,0.6778,8,1,0,0,0.8458,1808,7,0,1,0,0,0,1,0,0
550105.46,50009.5872,30940.2032,11,455806.38,50009.5872,0.7527,7,0.8977,19.95,23,0.5891,13,1,0,0,0.8007,316,4,1,1,0,1,0,0,0,0
23675320.89,1183766.0446,205606.8652,20,1183766.0446,1183766.0446,0.5419,3091,0.7079,0.7285,22,0.4553,7,1,0,1,0.8807,200,8,0,1,0,0,0,1,0,0
654705.07,31176.4318,7018.6236,21,31176.4318,31176.4318,0.7713,600,0.7793,7.0946,2,0.1452,3,0,1,1,0.7917,281,4,0,1,1,0,0,0,0,0
78991.03,7899.1028,635.3085,10,48075.57,163.93,0.0542,34993,0.3667,1.0337,3,0.068,2,0,0,0,0.005,2216,2,0,0,0,0,0,0,0,0
18059782.86,1003321.2698,37843.8673,18,1143839.7,144351.69,0.6636,3476,0.7006,2.0101,60,0.4138,3,1,0,1,0.5688,1647,8,0,1,0,0,0,0,1,0
