,sar_worthy,typology_structuring,typology_rapid_movement,typology_funnel_account,typology_trade_based,typology_shell_company,typology_round_tripping
fund_exit_ratio,0.3373200613770371,0.0932730177658545,0.10615112811310201,0.04327436893487002,0.0618765403252135,0.05426682141481454,0.1026945858163264
burst_x_exit,0.319877170802074,0.08469081011896984,0.2448655330407965,0.04456780619681133,0.03905208729017984,0.04121147875761455,0.0547121095379457
fund_exit_tier,0.2518374185377825,0.03348540275355405,0.07570102913233034,0.02055344952430782,0.03783041972836454,0.02064070473569246,0.09732029822695831
burst_score,0.1591562022769224,0.09867253746188287,0.13916115008863628,0.0588059742867002,0.044208883427303336,0.055940564019430594,0.04756798085758707
time_to_first_outbound_minutes,0.15283349911120503,0.212978926306284,0.23399468938263346,0.09850693336375116,0.09730639480514869,0.09652477192357178,0.1240829603228395
time_to_first_outbound_minutes_log,0.15190615353459092,0.21229151021986437,0.2338681905565534,0.09766221258991425,0.0943765874035607,0.0967942293609676,0.1243709227968175
hr_country_x_exit,0.13472614470023236,0.030587571412005188,0.027340067231842236,0.01392305547398709,0.05122948700119734,0.04994169181700814,0.08122276678252405
burst_per_age,0.11383228206137419,0.09218613278298515,0.14188746839788724,0.06003149229556737,0.038151115518118894,0.05283607382590483,0.037072884090225466
burst_tier,0.10742811391218021,0.05851834382769683,0.12199665752986166,0.03324460709837562,0.027014101413348257,0.014425168305203018,0.010840713126526236
kyc_risk_score,0.02293236423853018,0.07487743029458205,0.02658953232549699,0.014059681742964125,0.05946727048487466,0.03354749279206004,0.01720086260857756
alert_count,0.022053405107136603,0.010405664783019741,0.03336058390187313,0.020784981748583675,0.021024973363846344,0.06444776325595503,0.0303023820692796
account_age_days,0.016424705929461103,0.05839901282639137,0.06589938595333433,0.06403409432507834,0.018501377815751008,0.08571458083154382,0.046637779310036986
account_age_days_log,0.016291770669109695,0.05865930520564899,0.066979889194553,0.06373829067139902,0.018612746350860743,0.08590840444164827,0.04671262212522764
kyc_risk_tier,0.014936699780321083,0.016657562265129933,0.00019301938083593484,0.001901531961845393,0.02958034615678229,0.014881606167921335,0.010571108927525996
international_counterparty_flag,0.014523259087305007,0.029329833310449027,0.007282577231918941,0.01331261197075162,0.02794092722675634,0.002573805556756348,0.01677047227485895
kyc_x_alert,0.014363938319919667,0.017804830615959277,0.019169067447481813,0.007500864728287704,0.03629097892854616,0.022806965531273704,0.025574874838479866
pep_flag,0.011610485764440792,0.003632762949409063,0.004845043072268185,0.005129512145499948,0.004686255392822636,0.0,0.0
high_risk_combined,0.009156633997168262,0.0006998879568416161,0.0030677753682839537,0.0,0.010198893184553803,0.012167284322246674,0.005372513885209873
high_risk_country_flag,0.008861779289889737,0.004571561000249247,0.0019767431197903473,0.005137776953612949,0.019002213166485316,0.02109057197507025,0.013944730878801659
binary_risk_flag_count,0.008504643543921775,0.01622260775199935,0.0,0.005352966587547137,0.01912164799774252,0.016152061046929234,0.015776017775159357
alert_density,0.006924792514211298,0.024098546095796314,0.058451773513724437,0.017193623978132733,0.008962609505886787,0.03230396825639836,0.01896827955649316
counterparty_diversity_score,0.005490531450795588,0.1356865043222446,0.043067168254770305,0.03215166926528057,0.03639527945086196,0.04342499696777402,0.03403812888022628
historical_sar_flag,0.003966157878049881,0.005283981105123292,0.0031055599592595406,0.0,0.0020359383400427866,0.002823319843986649,0.0026454563714617407
sar_history_x_kyc,0.003462062642678676,0.02751451187958298,0.010178871954848567,0.011376533929722932,0.022417848150139363,0.011419572463195138,0.006948668986353823
diversity_x_sources,0.0027116965423998884,0.15390113791513094,0.02601340563749699,0.045896096450869006,0.03186845361133339,0.030857215168975216,0.035460132250652476
alert_tier,0.0016227402360995402,0.005707701427893452,0.012705691894195237,0.007642606920552408,0.01463322539602352,0.027794824747372493,0.023379511383730733
txn_velocity_log,0.00147633131791447,0.08755834917044414,0.1205429167817289,0.07949813326897015,0.09014750934793936,0.05608430376093265,0.0255391923783006
txn_velocity,0.001274171969326332,0.08748533944828885,0.12053950535764058,0.07962304255950459,0.09007711258965267,0.05603083986934765,0.02557728924825864
all_flags_set,0.0012420299578170813,0.0,0.0,0.00012141211033256383,0.0022896557997038602,0.0014713014539089464,0.0029002950033529817
txn_count,0.0010059541014824092,0.1069851854402264,0.0731957003390189,0.108176521739199,0.07587111353036913,0.06631207324554755,0.05456029136282936
min_txn_amount,0.0,0.12877609975369664,0.05888227067521146,0.07753830440247844,0.09171843407944036,0.0854523559984699,0.05673652060006673
avg_txn_amount,0.0,0.11086575067332927,0.06713598151838251,0.08981700121875535,0.10832369948794662,0.10856462891327912,0.06935226091998192
total_txn_amount,0.0,0.05738721988934836,0.04284231315033016,0.032721223290923085,0.06627524116500028,0.07772623638565812,0.049251110347680704
max_txn_amount,0.0,0.11783421512524761,0.07503211540845167,0.1045284540026572,0.11672220732088423,0.10750423858162517,0.07473565900051349
distinct_counterparties,0.0,0.10398536429935312,0.024827416929908086,0.02920311334098824,0.03981570918151123,0.09732392667978806,0.024752258424271867
incoming_sources_count,0.0,0.088651287184075,0.02633864460439672,0.13928121023410012,0.04310106912329292,0.05184674843674708,0.029050049259718103
std_txn_amount,0.0,0.13912539336868357,0.09662429575213238,0.09681172967848006,0.10779754640602923,0.09902839270683006,0.06834065574992798
txn_amount_cv,0.0,0.02131703826132192,0.0,0.023597572467343175,0.024513847519230803,0.02016180796454692,0.020371480095649153
max_to_avg_txn_ratio,0.0,0.03758549466981509,0.005231837278540263,0.015597512834898852,0.02260579392118567,0.007887719688515427,0.01079301623145934
std_txn_amount_cbrt,0.0,0.13948213556588374,0.09411835945971236,0.099991452737757,0.11063625534881916,0.09533302685392475,0.06887902101589716
max_txn_amount_cbrt,0.0,0.11581958754375843,0.07598692055992862,0.10580457714074454,0.11232128150360299,0.10107658573522493,0.07160972695550893
min_txn_amount_cbrt,0.0,0.13007511609053046,0.061648718572951955,0.07565151062228215,0.09206635277102082,0.08348340093218543,0.0563934211638939
total_txn_amount_cbrt,0.0,0.060651690585229234,0.04484976463561097,0.0332662394734522,0.06715249251671263,0.07679464240713796,0.04922470808181045
avg_txn_amount_cbrt,0.0,0.10867109976343126,0.0648733557011818,0.09120661897699511,0.10683639417019752,0.10604508737920759,0.07123372513429937
distinct_counterparties_log,0.0,0.10957024044749075,0.021862247273201962,0.03058245307785934,0.036966977803685186,0.09848567038335565,0.02496535787404941
incoming_sources_count_log,0.0,0.08947170756308864,0.027016854747008878,0.1383198701813415,0.04736660638863266,0.04981717358986093,0.031135789251262924
txn_count_log,0.0,0.10498971955588732,0.07213714271875293,0.11036405472322475,0.07732991961933866,0.06969476542224173,0.053292222618414486
pep_x_intl,0.0,0.004114835399342098,0.003234917240991786,0.0,0.00365351909597611,0.0,0.003640110210235914
incoming_to_outgoing_ratio,0.0,0.08650933371087066,0.02089448509681846,0.0983578111885679,0.04251411342160494,0.07488904806120367,0.022529020491273366
counterparty_to_txn_ratio,0.0,0.11157335640327748,0.014145075887992187,0.048204819758562056,0.02858981530324267,0.04430543180600699,0.028085477919996604
