feature,mi_score
fund_exit_ratio,0.32787747058238415
burst_x_exit,0.31201336801716373
fund_exit_tier,0.23648152578958492
time_to_first_outbound_minutes_log,0.1568452101307869
burst_score,0.15003199176087922
hr_country_x_exit,0.13970038956710185
burst_per_age,0.11114424189689065
burst_tier,0.10227403535073742
kyc_risk_score,0.021804308897731106
kyc_x_alert,0.018697935395589615
alert_tier,0.014141867250581974
alert_count,0.012912866335705875
account_age_days_log,0.012754663603098404
binary_risk_flag_count,0.011922982114407121
kyc_risk_tier,0.010082448267408672
high_risk_country_flag,0.0075842656369462524
counterparty_diversity_score,0.006733489325778219
pep_x_intl,0.006701112188513436
historical_sar_flag,0.006218515668737767
alert_density,0.005994540130439541
sar_history_x_kyc,0.003983990041031671
high_risk_combined,0.003939631301032254
diversity_x_sources,0.0016436934244796753
distinct_counterparties_log,0.001082155554823494
pep_flag,0.0007456014670186306
txn_velocity_log,8.263612292491729e-05
international_counterparty_flag,0.0
max_to_avg_txn_ratio,0.0
std_txn_amount_cbrt,0.0
max_txn_amount_cbrt,0.0
min_txn_amount_cbrt,0.0
total_txn_amount_cbrt,0.0
txn_amount_cv,0.0
txn_count_log,0.0
incoming_sources_count_log,0.0
avg_txn_amount_cbrt,0.0
counterparty_to_txn_ratio,0.0
incoming_to_outgoing_ratio,0.0
all_flags_set,0.0
